Title,PhoneNumber,Address,Company Website,Email,Social medias
Giet'studio,629233128,3 rue gaston monmousseau94200 Ivry-sur-Seine,gietfitdance.com,,
Horizon,491906879,75 corniche Président John Fitzgerald Kennedy13007 Marseille,horizon-centreparamedical.fr,contact@horizon-centreparamedical.fr,"https://www.instagram.com/horizon.centreparamedical/,https://www.facebook.com/horizoncentreparamedical/"
Informations sur ASSOCIATION 7 Animés,33534438433," Rte de Blagnac 110, 31200, Toulouse ",http://7animes.fr/,secretariat@7animes.fr,
Académie de Yoga,952250727,48 boulevard Michelet13008 Marseille,http://academiedeyoga.free.fr/,contact@academiedeyoga.fr,
Action Sport Opéra,143876405,6 Rue de la Michodière75002 Paris,http://action-sport.fr/,contact.actionsports@ode-fr.com,
Action Sport Bastille,145339857,38 Rue du Chemin Vert75011 Paris,http://action-sport.fr/,contact.actionsports@ode-fr.com,
Action Sport Boulogne,171546573,62 rue des tilleuls92100 Boulogne-Billancourt,http://action-sport.fr/,contact.actionsports@ode-fr.com,
Aisthanoumai,142723970,71 rue Rambuteau75004 Paris,http://aisthanoumai.free.fr/,aisthanoumai@free.fr,
Informations sur Angers Gymnastique,33241488570," Rue Henri Bergson, 49000, Angers ",http://angers-gymnastique.com/,angers.gymnastique@wanadoo.fr,
Aquaslim,142276162,"130, rue Cardinet75017 Paris",http://aqua-slim.fr/,,
Archypel Exclusive,143373744,9 Rue Pascal75005 Paris,http://archypel-exclusive.fr/centre-miha-bodytec/,"
archypelfrance@gmail.com",https://www.facebook.com/archypel.exclusive/?locale=ko_KR
Feel Sport Arcueil,185154785,Centre Commercial La Vache Noire94110 Arcueil,http://arcueil.feelsport.fr/?utm_source=masalledesport&utm_medium=annuaire,,
L'Atelier 3,699764000,3 rue Popincourt75011 Paris,http://atelier3paris.fr,,
Informations sur Avenir de Rennes - Section musculation,33299592722," Rue Papu 45, 35000, Rennes ",http://avenir-rennes-muscu.info/,contact@avenir-rennes-muscu.info,https://www.facebook.com/musculationavenirderennes/about
Battling Club Paris 17,145804337,9 Rue Jacquemont75017 Paris,http://battlingclubparis17.fr/,contact@battlingclubparis17.fr,
Beyoga Paris 14,965316011,17 Rue Campagne Première75014 Paris,http://beyoga.fr/,contact@beyoga.fr,https://www.facebook.com/beyogaparisofficial/
"EssentiElles, votre parenthèse bien-être",663450283,20 boulevard de Saint Loup2ème étage13010 Marseille,http://bien-etre13.wix.com/essentielles,,
Informations sur B'YO! Yoga Paris 13ème,33689952486," Av. des Gobelins 28, 75013, Paris ",http://b-yo.fr/,yoga@b-yo.fr,
Centre Aquatique de Bois Colombes,146498774,30-42 rue Jean Jaurès92270 Bois-Colombes,http://cabc.fr/,contact@cabc.fr,
Gym Club Baret Marseille,491337979,42 Cours Julien13006 Marseille,http://club.quomodo.com/gymclubbaret13/accueil.html,,
Cours Capoeira Paris,666721234,18 Bis rue de l'AtlasGymnase ATLAS75019 Paris,http://cours.capoeira.paris,,
Equanime danse,950807955,9 rue de Fourcy75004 Paris,http://cours-particuliers-de-danse.com/,equanime1@gmail.com,
Crossfit Etoile,750802069,58 Avenue Marceau75008 Paris,http://crossfitetoile.weebly.com/,crossfitletoile@icloud.com,https://www.facebook.com/CrossFitlEtoile/
CrossFit Grande Arche Station,623286555,Gare RER La Défense – Grande Arche92800 Puteaux,http://crossfitgrandearchestation.com/,crossfitgrandearchestation@gmail.com,https://www.facebook.com/people/CrossFit-Grande-Arche-Station/100063552611786/
CrossFit Original Addicts II,782018822,37 rue Bréguet75011 Paris,http://crossfitoriginaladdicts.com/,contact@crossfitoriginaladdicts.com,
Chat Swing,666555290,22 promenade du Millénaire92400 Courbevoie,http://danse.chatswing.info/,asso.chatswing@yahoo.fr,https://www.facebook.com/ChatswingDanse/
Informations sur A.WAY Dijon CrossFit Black Owl,33983421147," Rue de la Broche 2, 21800, Quétigny ",http://dijon.a-way.fr/,contact@a-way.fr,
Informations sur Dijon Gym,33380720197," Rue Léon Mauris 17, 21000, Dijon ",http://dijongym.wordpress.com/,dijongym@gmail.com,
A Corps Danse Paris,660872043,54 rue EmeriauAu C3B75015 Paris,http://ducinemaetdeladanse.artblog.fr/,,
Evolution,682655532,5 rue MadonMitoyen au McDo CHAVE13005 Marseille,http://ecoledanseevolution.blogspot.com,ecoledanseevolution@wanadoo.fr,
Envido Paris Passy,967003589,1 rue Jean bologne75016 Paris,http://envido-france.com,,
Informations sur Pilates Barre Carmes Toulouse/Studio EvenCore,33674403138," Rue Merlane 5 ter, 31000, Toulouse ",http://evencore.fr/,violaine@evencore.fr,"https://www.facebook.com/evencoretoulouse/,https://www.facebook.com/evencoretoulouse/"
Informations sur Fifty Nine Grenoble Presqu'Ile,33476950590," Avenue des Martyrs 84/86, 38000, Grenoble ",http://fiftyninefitnessclub.fr/,bourgoin@fiftyninefitnessclub.fr,"https://www.facebook.com/fiftynine.bourgoin/,https://www.instagram.com/fifty.nine.echirolles/"
Informations sur Fight'Ness Gym Rennes,33299799242," Rue du Noyer 1, 35000, Rennes ",http://fightness-gym.fr/,fightness.grenoble@gmail.com,
Informations sur Fit Energy Lyon Tête d'or,33677093072," Grande Rue de St Clair 152, 69300, Caluire-et-Cuire ",http://fitenergy.fr/,mailto:yann@sport-team-building.fr,https://www.facebook.com/fitnenergylyon/
Fitness City Sébastopol,491340808,7 bis rue George13005 Marseille,http://fitnesscity.pagesperso-orange.fr,,"https://www.facebook.com/Orange.France,"
Fitness Park Marseille la Valentine,488925381,Montée du Commandant RobienFace au Cinéma Les 3 Palmes13011 Marseille,http://fitnesspark.fr/club/la-valentine/,lavalentine@fitnesspark.fr,"https://www.instagram.com/fitnessparkofficiel/,https://www.facebook.com/fitnessparkofficiel/"
Fitness Voltaire,143709686,23-25 rue Pétion75011 Paris,http://fitness-voltaire.com/,,
Zumba Fit'Z Form,611337798,38 rue Fourier13012 Marseille,http://fitzform.tk,,
Informations sur Form'in Pilates Lyon 7,33683492620," Rue Camille Roy 13, 69007, Lyon ",http://forminpilates.e-monsite.com/, tran.jacky@laposte.net,
Informations sur Grenoble Ville Gym Rando,33476630785," Rue de la République 14, 38000, Grenoble ",http://grenoblevillegymrando.fr/,grenoblevillegymrando@gmail.com,
Informations sur Club Gymnique de Lille,33320428973," Rue Jean Sans Peur 17, 59800, Lille ",http://gymlille.fr/,tran.jacky@laposte.net,
Informations sur Chassieu Gym / Gym Lyon Métropole Chassieu-Lyon,33472938230," Bd du Raquin, 69680, Chassieu ",http://gymlyonmetropole.fr/,,
Gym Prado Mermoz,491761510,232 Avenue du Prado13008 Marseille,http://gym-prado-mermoz.fr/,contactlyon@gymlyonmetropole.fr,
Informations sur Gymrennesud,33299323164," Rue d'Espagne 7, 35200, Rennes ",http://gymrennesud.fr/,faludi.annie@gymrennesud.fr,
Health Nutrition,172468685,57 Grande Rue Charles de Gaulle94130 Nogent-sur-Marne,http://healthnutrition.fr,,
IBODY Fitness,665640505,254 Boulevard Voltaire75011 Paris,http://ibody-fitness.fr/,coachmihabodytec@gmail.com,https://www.facebook.com/ibodyfitnessparis/
Wellnesstime,689857418,77 boulevard Suchet75016 Paris,http://info@wellnesstime-paris.com,,
